"semana","casosSemanais","obitosSemanais"
2020-02-23,2,0
2020-03-01,17,0
2020-03-08,102,0
2020-03-15,1007,18
2020-03-22,2775,96
2020-03-29,6375,318
2020-04-05,10449,692
2020-04-12,15872,1223
2020-04-19,21910,1669
2020-04-26,37887,2708
2020-05-03,59543,3903
2020-05-10,77203,5006
2020-05-17,114256,6380
2020-05-24,151042,6821
2020-05-31,174406,7096
2020-06-07,177668,6790
2020-06-14,217065,7256
2020-06-21,246088,7094
2020-06-28,263337,7195
2020-07-05,262846,7204
2020-07-12,235010,7303
2020-07-19,319653,7677
2020-07-26,313364,7114
2020-08-02,304535,6914
2020-08-09,304684,6755
2020-08-16,265266,7018
2020-08-23,263791,6212
2020-08-30,276847,5741
2020-09-06,192687,5007
2020-09-13,212553,5322
2020-09-20,189751,4874
2020-09-27,188842,4581
2020-10-04,175804,4211
2020-10-11,141725,3477
2020-10-18,156273,3228
2020-10-25,154970,2981
2020-11-01,117956,2385
2020-11-08,195398,3389
2020-11-15,203827,3331
2020-11-22,237486,3572
2020-11-29,286905,4067
2020-12-06,302950,4495
2020-12-13,333028,5233
2020-12-20,252651,4439
2020-12-27,250599,4930
2021-01-03,359593,6906
2021-01-10,379061,6665
2021-01-17,361195,7149
2021-01-24,360721,7500
2021-01-31,320820,7067
2021-02-07,311959,7520
2021-02-14,329394,7445
2021-02-21,378084,8244
2021-02-28,421604,10104
2021-03-07,500722,12777
2021-03-14,510901,15650
2021-03-21,539903,17798
2021-03-28,463235,19643
2021-04-04,491409,21141
2021-04-11,455085,20344
2021-04-18,408124,17814
2021-04-25,417760,16945
2021-05-02,419904,14879
2021-05-09,440655,13399
2021-05-16,460905,13493
2021-05-23,424161,12849
2021-05-30,435825,11474
2021-06-06,467393,13741
2021-06-13,508932,14528
2021-06-20,503144,11935
2021-06-27,355131,10852
2021-07-04,326978,9306
2021-07-11,273445,8373
2021-07-18,328086,8182
2021-07-25,247321,6922
2021-08-01,233924,6382
2021-08-08,198363,6036
2021-08-15,206345,5421
2021-08-22,172118,4801
2021-08-29,149259,4352
2021-09-05,111300,3196
2021-09-12,241161,3950
2021-09-19,113552,3692
2021-09-26,115813,3523
2021-10-03,108064,3106
2021-10-10,71545,2323
2021-10-17,84833,2305
2021-10-24,80535,2237
2021-10-31,70230,1694
2021-11-07,79514,1834
2021-11-14,58312,1365
2021-11-21,64713,1599
